model,cv_roc_auc,cv_roc_auc_std,cv_pr_auc,cv_f1_at_0_5,best_parameters,dev_threshold,dev_accuracy,dev_precision,dev_recall,dev_f1,dev_roc_auc,dev_pr_auc
random_forest,0.8066775306149495,0.006379009068427656,0.6434876665742266,0.6117330524165399,"{""model__class_weight"": null, ""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 4, ""model__n_estimators"": 770}",0.31999999999999995,0.7332580887885628,0.5789473684210527,0.781354051054384,0.6650921114785073,0.8024133053958259,0.6359115590671159
xgboost,0.8058523530145599,0.006218948906770939,0.6431133770889916,0.6099184229452573,"{""model__colsample_bytree"": 0.711701974655135, ""model__learning_rate"": 0.03496057333840413, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 438, ""model__reg_alpha"": 0.001071418410879619, ""model__reg_lambda"": 1.7048386009349077, ""model__scale_pos_weight"": 1.0, ""model__subsample"": 0.8494985044450786}",0.5,0.7460496613995485,0.6426767676767676,0.564927857935627,0.6012994683992912,0.8020924072853978,0.6384690336747748
logistic_regression,0.8050976563161811,0.008749790787946929,0.639616965369693,0.6534713369898684,"{""model__C"": 0.06307658212034051, ""model__class_weight"": ""balanced""}",0.5,0.7475545522949586,0.6053113553113553,0.7336293007769146,0.6633216256899147,0.8053184439979104,0.6541181136543549
hist_gradient_boosting,0.7980377589894609,0.007998520269659939,0.631953785797333,0.6473515528733971,"{""model__class_weight"": ""balanced"", ""model__l2_regularization"": 0.014333509085102681, ""model__learning_rate"": 0.03922578230025712, ""model__max_iter"": 434, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 46}",0.5,0.7404063205417607,0.5954751131221719,0.730299667036626,0.6560319042871385,0.7959018531865877,0.6301018198599057
