model,dev_threshold,dev_accuracy,dev_precision,dev_recall,dev_f1,dev_roc_auc,dev_pr_auc
random_forest,0.31999999999999995,0.7332580887885628,0.5789473684210527,0.781354051054384,0.6650921114785073,0.8024133053958259,0.6359115590671159
xgboost,0.5,0.7460496613995485,0.6426767676767676,0.564927857935627,0.6012994683992912,0.8020924072853978,0.6384690336747748
logistic_regression,0.5,0.7475545522949586,0.6053113553113553,0.7336293007769146,0.6633216256899147,0.8053184439979104,0.6541181136543549
hist_gradient_boosting,0.5,0.7404063205417607,0.5954751131221719,0.730299667036626,0.6560319042871385,0.7959018531865877,0.6301018198599057
