metric,lower_95,upper_95
accuracy,0.7163280662151994,0.7498118886380737
precision,0.552344615861282,0.605590439964044
recall,0.753570815226319,0.8066374988024144
f1,0.6421746949117925,0.6868411155602462
roc_auc,0.7859908374285335,0.819551772363758
pr_auc,0.6022332262400216,0.6693261378632765
