threshold,accuracy,precision,recall,f1,roc_auc,pr_auc
0.05,0.40561412110811473,0.35953864510141853,0.9934065934065934,0.5279859826730264,0.806040446902643,0.640498971308562
0.055,0.42167197842608484,0.36563936198972696,0.9908424908424909,0.5341627172195893,0.806040446902643,0.640498971308562
0.06,0.4356459916646237,0.37107870115575126,0.987912087912088,0.539507901580316,0.806040446902643,0.640498971308562
0.065,0.4465555283157637,0.37540136814184,0.984981684981685,0.5436166986758314,0.806040446902643,0.640498971308562
0.07,0.45832311841137535,0.3803315856596287,0.9831501831501831,0.5484826811075917,0.806040446902643,0.640498971308562
0.075,0.46996812944349103,0.38505912892991057,0.978021978021978,0.5525662251655629,0.806040446902643,0.640498971308562
0.08,0.48222603579308654,0.39043707832208857,0.9750915750915751,0.5576036866359447,0.806040446902643,0.640498971308562
0.08499999999999999,0.4958323118411375,0.396683101748095,0.9725274725274725,0.5635148042024832,0.806040446902643,0.640498971308562
0.09,0.505393478793822,0.40103139693614437,0.9684981684981685,0.567199399334978,0.806040446902643,0.640498971308562
0.095,0.5174062270164256,0.40668006803773,0.9633699633699634,0.5719256279221485,0.806040446902643,0.640498971308562
0.09999999999999999,0.5279480264770777,0.41185721025318445,0.9593406593406594,0.5763010232148751,0.806040446902643,0.640498971308562
0.105,0.5377543515567541,0.41675995522149367,0.9545787545787546,0.5802070577757987,0.806040446902643,0.640498971308562
0.10999999999999999,0.5496445207158618,0.4231270358306189,0.9516483516483516,0.5857948139797069,0.806040446902643,0.640498971308562
0.11499999999999999,0.5581024760970826,0.4276739957017689,0.9476190476190476,0.5893609750541063,0.806040446902643,0.640498971308562
0.12,0.5671733267957833,0.43272299680833193,0.9435897435897436,0.5933433145226304,0.806040446902643,0.640498971308562
0.12499999999999999,0.5780828634469233,0.4391660970608339,0.9413919413919414,0.5989279888137963,0.806040446902643,0.640498971308562
0.13,0.5859279235106644,0.44380853277835586,0.9373626373626374,0.6024011299435028,0.806040446902643,0.640498971308562
0.135,0.5962245648443246,0.45019427764040976,0.9336996336996337,0.6074833174451859,0.806040446902643,0.640498971308562
0.13999999999999999,0.6039470458445697,0.4550994801935831,0.9300366300366301,0.6111445420628234,0.806040446902643,0.640498971308562
0.145,0.6105663152733513,0.4594005449591281,0.9263736263736264,0.614207650273224,0.806040446902643,0.640498971308562
0.14999999999999997,0.6165726893846531,0.46339220014716703,0.9227106227106228,0.6169483223120255,0.806040446902643,0.640498971308562
0.15499999999999997,0.6229468006864427,0.4677359194330474,0.9186813186813186,0.6198714780029659,0.806040446902643,0.640498971308562
0.15999999999999998,0.6285854376072567,0.4716446124763705,0.9139194139194139,0.6221945137157108,0.806040446902643,0.640498971308562
0.16499999999999998,0.633366021083599,0.47501435956346927,0.9087912087912088,0.6239155035835534,0.806040446902643,0.640498971308562
0.16999999999999998,0.6376562883059573,0.4781092599767532,0.904029304029304,0.6254434870755196,0.806040446902643,0.640498971308562
