outcome,players,mean_probability,median_hours_since_last_activity,median_weekend_attempt_rate,median_observation_span_hours,median_active_days,median_total_duration,median_session_count,median_last25_mean_level,median_reststep_std
false_negative,197,0.1718084643781162,5.433611111111111,0.6391304347826087,73.5411111111111,4.0,15801.0,8.0,92.72,0.219750354031099
false_positive,512,0.5211655013594704,31.97361111111111,0.8935849133041647,47.314305555555556,3.0,5099.5,4.0,38.26,0.2370992719102633
true_negative,1245,0.12671700459107685,2.6666666666666665,0.584717607973422,75.62722222222222,4.0,22741.0,11.0,112.44,0.20876741194779
true_positive,704,0.587638327467392,47.70444444444445,0.9917682926829269,36.607083333333335,2.0,3473.5,3.0,21.8,0.24263777629194588
