model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_pr_auc,split1_test_pr_auc,split2_test_pr_auc,split3_test_pr_auc,split4_test_pr_auc,mean_test_pr_auc,std_test_pr_auc,rank_test_pr_auc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__n_estimators,param_model__l2_regularization,param_model__learning_rate,param_model__max_iter,param_model__max_leaf_nodes,param_model__colsample_bytree,param_model__min_child_weight,param_model__reg_alpha,param_model__reg_lambda,param_model__scale_pos_weight,param_model__subsample
logistic_regression,0.9069454669952393,0.13964541036988826,0.1545870780944824,0.029737842814461717,0.49096328454489707,,"{'model__C': np.float64(0.49096328454489707), 'model__class_weight': None}",0.8019347135369236,0.7974723250966346,0.7940369943132375,0.81712158808933,0.8127428638949377,0.8046616969862127,0.008860721852046735,7,0.6334165717621082,0.633392023567286,0.6174628037260219,0.662436798926578,0.6522243357336059,0.63978650674312,0.015795876228538442,8,0.5892857142857143,0.5858585858585859,0.6013712047012733,0.5971943887775552,0.6107317073170732,0.5968883201880403,0.008846286843972132,11,,,,,,,,,,,,,,
logistic_regression,1.0981624126434326,0.165999633579876,0.12361040115356445,0.01827154551673245,63.527405588089174,,"{'model__C': np.float64(63.527405588089174), 'model__class_weight': None}",0.8022888713496447,0.796824722239087,0.7927046863510953,0.8171941729545418,0.8127935044985737,0.8043611914785884,0.009303293046348983,14,0.6355338517905644,0.6312865265681904,0.6138916144690505,0.6627064961305815,0.6533723485987251,0.6393581675114224,0.01714563398049287,13,0.5847373637264618,0.5858585858585859,0.6041055718475073,0.5977933801404213,0.6095423563777994,0.5964074515901551,0.009809965302615286,13,,,,,,,,,,,,,,
logistic_regression,1.3720149040222167,0.32623896462818164,0.09784526824951172,0.02055834214828471,2.6297662518214366,,"{'model__C': np.float64(2.6297662518214366), 'model__class_weight': None}",0.802174191676954,0.7969292831171283,0.7929930719985969,0.8172532536587837,0.8127766242973616,0.804425284949765,0.009233142557731038,9,0.6355656398765062,0.6324131689401756,0.615911245885262,0.663263823236482,0.6531054911706781,0.6400518738218207,0.016555588458109873,6,0.5850746268656717,0.5872855701311807,0.6072477962781586,0.5985985985985987,0.6095423563777994,0.5975497896502818,0.009999568773874127,9,,,,,,,,,,,,,,
logistic_regression,0.9945459365844727,0.2297584361810351,0.06494584083557128,0.012890002968226259,9.691137662566426,balanced,"{'model__C': np.float64(9.691137662566426), 'model__class_weight': 'balanced'}",0.8026716990805388,0.7966965508401972,0.7927923825713881,0.8177377154335681,0.8133387349977211,0.8046474165846826,0.009534741705042017,8,0.6360769564377222,0.6312940888874732,0.6129815848460463,0.663618915616513,0.6501617279831922,0.6388266547541893,0.01717793999114657,15,0.654281098546042,0.6509357200976403,0.6439873417721519,0.6655948553054662,0.6625,0.6554598031442601,0.007819944960868037,1,,,,,,,,,,,,,,
logistic_regression,0.3646822929382324,0.0923851589993506,0.08166136741638183,0.008229296121675835,0.0022589311844128032,,"{'model__C': np.float64(0.0022589311844128032), 'model__class_weight': None}",0.7977961265254083,0.7981401655434804,0.7964351486450933,0.8173309025843589,0.8122786583616076,0.8043962003319898,0.008666221280753549,10,0.62640680209776,0.6383425027247392,0.6276662755950219,0.6590137790549824,0.6619153257689532,0.6426689370482914,0.015138244659122347,1,0.5661914460285132,0.569055036344756,0.592964824120603,0.577639751552795,0.6067864271457086,0.5825274970384753,0.015295079615638696,15,,,,,,,,,,,,,,
logistic_regression,0.2771290302276611,0.030947724371459786,0.061280250549316406,0.006514426444737086,0.02031385515093117,balanced,"{'model__C': np.float64(0.02031385515093117), 'model__class_weight': 'balanced'}",0.8002937823379812,0.7982312346953231,0.7956323909362583,0.8179841663712631,0.813345487078206,0.8050974122838064,0.00887586675392498,2,0.631951233345782,0.6354404627576344,0.6167756631188612,0.6629109156429155,0.6535163222692886,0.6401189194268964,0.0163246571922401,5,0.6482534524776604,0.6432078559738135,0.6523468575974543,0.6645109135004043,0.6604068857589984,0.6537451930616662,0.007790108032296823,2,,,,,,,,,,,,,,
logistic_regression,0.30141148567199705,0.014313793362031662,0.06897225379943847,0.012849406240450988,0.06307658212034051,balanced,"{'model__C': np.float64(0.06307658212034051), 'model__class_weight': 'balanced'}",0.8013006024055749,0.7981620895985535,0.7952023421636681,0.817602673823872,0.8132205735892372,0.8050976563161811,0.008749790787946929,1,0.6326560531055289,0.635773053740351,0.6166813815978319,0.661612470333988,0.6513618680707656,0.639616965369693,0.015562878507600223,9,0.6493927125506073,0.6475878986099755,0.6481334392374901,0.6618357487922706,0.6604068857589984,0.6534713369898684,0.0062898076032662014,3,,,,,,,,,,,,,,
logistic_regression,0.28985114097595216,0.020783492351404722,0.061685800552368164,0.010656573829110488,0.20037321414393286,balanced,"{'model__C': np.float64(0.20037321414393286), 'model__class_weight': 'balanced'}",0.8019313406053739,0.7978467204986541,0.7946205114713403,0.8174017994294493,0.8131817491264496,0.8049964242262535,0.008821172758163628,5,0.6328569358487963,0.6349389795240622,0.6160993516055381,0.6622303940575487,0.6508208800611761,0.6393893082194243,0.01585746152698917,12,0.6483427647534358,0.6476345840130505,0.6455194290245837,0.6612903225806451,0.6614542611415168,0.6528482723026464,0.007021756823509185,7,,,,,,,,,,,,,,
logistic_regression,0.210435152053833,0.013898727660013621,0.05075092315673828,0.008202136151618675,0.0016209791271862544,balanced,"{'model__C': np.float64(0.0016209791271862544), 'model__class_weight': 'balanced'}",0.7973323484373209,0.7978079317858323,0.7963946734664966,0.8170945797673909,0.8122246417177293,0.8041708350349541,0.008713289911797385,15,0.625896573125646,0.6378974757062755,0.6290069447803257,0.6589167567219221,0.6615244751660345,0.6426484451000407,0.01490134175085407,2,0.6524938675388389,0.6440957886044592,0.6543704891740176,0.6590538336052202,0.6572549019607843,0.653453776176664,0.00519890217534164,4,,,,,,,,,,,,,,
logistic_regression,0.1877371311187744,0.0114544441006631,0.05246853828430176,0.006544048775075732,0.008106849519280727,balanced,"{'model__C': np.float64(0.008106849519280727), 'model__class_weight': 'balanced'}",0.7993004539965866,0.7983543466968881,0.7960236509960267,0.8182896980132003,0.8134822167080231,0.805090073282145,0.009008305961660776,3,0.6304352524954292,0.6361049360743413,0.6191236340280991,0.6630251936082272,0.6564248346569609,0.6410227701726114,0.01635348901047623,3,0.6461038961038961,0.6430338004946414,0.6533226581265013,0.6634225466342255,0.6609240407204385,0.6533613884159406,0.007971855261342366,5,,,,,,,,,,,,,,
